stationid,drainage_area
USGS-11173500,255.891012
USGS-11173510,360.00861
USGS-11164500,96.865626
USGS-11274790,779.58699
USGS-11465390,2646.96978
USGS-11466800,650.08749
USGS-11467002,3504.25647
USGS-11467000,3465.40662
USGS-11467200,162.651372
USGS-11465240,453.24825
USGS-11467510,416.98839
USGS-11463200,221.444145
USGS-11467553,121.988529
USGS-11463000,1302.76497
USGS-11467590,215.487168
USGS-11462500,937.57638
USGS-11462080,740.73714
USGS-11468000,784.76697
USGS-11468500,274.53894
USGS-11475800,642.31752
USGS-11475000,5457.10893
USGS-11476500,1390.82463
USGS-11468900,183.630291
USGS-11469000,634.54755
USGS-11478500,574.97778
USGS-11479560,9360.22386
USGS-11479700,114.477558
USGS-11481000,1256.14515
USGS-11481200,104.894595
USGS-11523000,21950.16525
USGS-11522500,1945.08249
USGS-11516870,530.94795
USGS-11482500,717.42723
USGS-11518700,893.54655
USGS-11517000,1743.06327
USGS-11519500,1691.26347
USGS-11530500,31338.879
USGS-11517500,2053.86207
USGS-11517818,15242.09115
USGS-11516530,11991.6537
USGS-11511990,20719.92
USGS-11520500,17974.5306
USGS-11521500,310.7988
USGS-11532500,1590.25386
USGS-14361600,146.075436
USGS-11532650,1740.47328
