HUC8_id,elev_mean,elev_std
17040101,2501.779716333824,311.5182967250168
17110006,1144.7795494286772,531.0764517547115
17110016,273.60646416762154,245.0166291294604
17100103,230.25999474495507,181.32797787017512
17010302,1244.9273864759255,298.1334264896691
17010301,1176.4361391937402,219.75078398047782
17040205,1919.5327231411588,172.96784019993643
17060202,2248.887207588925,462.1861073975874
17060206,2126.4759264533523,360.0186419826355
17060305,1384.9063899499517,396.44715076766465
17010203,1655.7634268051677,312.493597346447
17010202,1826.9014476379882,339.78879780587994
17010201,1822.8150844882352,320.1659613769951
17010209,1775.907352250937,341.1496267243427
17010211,1504.0777479389633,412.8047659912182
17010212,1213.8733680644968,370.700275539567
17010102,1256.1921453417228,222.89215029924225
17010207,1719.5275586960945,346.66596767964586
17090010,200.24820640167326,173.56701893667562
17090009,375.4863488409178,349.3756165340111
17090011,841.6489435747843,414.89382783870303
17070204,849.826865126516,303.0097352366271
17020003,887.5642708338656,255.78820535605476
17020009,1349.9313004681226,562.6356947081659
17080004,1114.74434365652,433.0350583603615
17080002,685.7560890201948,406.80449476616053
17070106,919.476563587789,406.4377589232303
17020011,1205.9075317698955,478.92728379175725
17020004,1077.5808133844805,267.0197563089118
17040102,2691.1703595907916,280.9311377404826
17060204,2166.680547118812,413.9745763551224
17010205,1747.815949338105,418.6777047349484
17010304,1225.0647201210897,300.70875020593854
17060307,1448.84547178438,289.75361434485217
17060303,1590.6428885863538,367.66234595770527
17060306,904.8791435102917,249.43331160504303
17010306,804.1322081296868,103.86117898802642
17010308,730.2140704499305,147.7243172643992
17010305,792.273678303337,182.7614259497154
17040204,2019.9401251167533,368.2272857196613
17040105,2207.013007999465,294.1111567359712
17070102,605.3666055657858,372.0816052335694
17040202,2048.7437152620387,236.37601839930306
18090202,1085.6770272534247,387.84724017498377
18020151,684.7708164187037,491.7985286062561
18020153,1220.1081262163434,590.3400904139232
18010207,1231.9118136086477,463.8573971613261
18010211,1171.7603736712626,466.7098034403508
18010208,1325.2449886702248,375.48907903953176
18010210,1309.154082128531,438.5076200308816
18020152,668.9148029391098,485.80560343295554
18010212,1090.0624285162226,297.74489884052235
18010104,1126.2383018339317,455.10773795639676
18020162,380.91730455428996,202.67316774066785
18060005,429.1334837843576,246.97670274997293
18040014,629.6748991707246,244.4782162334224
18060004,543.0924403769233,156.0614804534728
18040006,2155.0875455674727,919.1202722403041
18020125,1285.2410797590546,620.7294382008128
18070203,823.9128653179399,706.9658209417905
18070202,815.0453803230394,477.83354278824527
18010201,1550.017504540752,196.2563593191943
18010202,1602.9766424864122,218.24686053270833
18100204,168.59815089078688,317.7670951271862
17100301,1026.0277627467683,488.3857096599127
17100311,822.9159623346218,326.418193907108
17100309,965.5566844834717,411.54310931257385
17040210,1737.984662756611,313.9384269405187
17040209,1453.1383142165407,184.11991680755514
17060210,1658.4985525863412,413.6363995373855
17040219,1855.4435919946034,537.3841781859517
17040220,1710.3385485555364,231.53946194683212
17040221,1615.9945302557626,399.5824674010373
17070103,711.3848582686973,369.96699548837273
17070202,1369.5590179212056,312.0314541273165
17070305,1273.6385783113358,257.06077600983764
17090004,973.7081863916501,477.51672701731775
17070306,836.7319995156757,287.0492694396442
17090005,898.97579380759,469.21415862172074
17090006,618.9181304767596,375.82750463928556
17090001,1008.7277023443904,461.8879264336684
17090002,593.4538513644818,319.33654354474015
17040213,1813.0563416856226,283.25950937531127
