water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,1853.8118512329684,1977.0499161019568,2029.830327467433,2235.6964957163573,1964.3518206614522,1749.0447934623367,688.924757604087,649.1841081584603,595.3503225582111,779.7628418215971,755.0035665742873,690.1556320479873,1329.1291978975282,524.68265333544,647.9207182044286,700.701129569905,906.5672978188292,635.2226227639238,419.9155955648084
2005,1417.2141028085878,1388.530105472653,1505.7880514998608,1743.5115738089785,1483.0039973305818,1347.3977393180505,688.9354420375298,652.3776518814594,604.6129213260978,750.5978021817621,742.5923671082294,641.0522237180085,1073.3581410043134,343.8559618042742,315.1719644683395,432.42991049554735,670.1534328046649,409.64585632626836,274.03959831373703
2006,1852.9520944528838,1932.644265004078,2022.5246798598964,2267.6429788217392,1993.1975244906973,1824.4377268122637,744.5470932728828,662.5708843193349,662.0874316999162,825.1886400529409,790.6679597974113,753.2066994083411,1527.994161514345,324.9579329385389,404.6501034897331,494.53051834555146,739.6488173073941,465.2033629763523,296.44356529791867
2007,1934.791733051032,2034.1073935396614,2114.5960770649585,2392.9384947333833,2107.158623389866,2067.265180725681,722.7740691495575,652.2789830075487,657.1655878333347,807.841186282018,768.0629687589305,721.9178137063576,1678.7090203330206,256.08271271801135,355.39837320664077,435.88705673193795,714.2294744003626,428.44960305684526,388.5561603926604
2008,1942.3975869968751,2033.0094675572743,2009.9841539302822,2305.5747178208776,1953.916607428404,1764.9812829488883,636.4242136655008,595.1373853154493,579.3842834124423,703.5070123475019,732.7629018228993,655.1464094567182,1518.721272106245,423.67631489063024,514.2881954510293,491.26288182403715,786.8534457146325,435.19533532215894,246.26001084264323
2009,1789.4915557136862,1812.226124633984,1752.5521627403823,2164.210152722335,1813.9338592522981,1656.648614426824,704.6631400211958,673.4507802430322,643.2255167508364,750.1951041877074,788.5408618563746,719.1412251265082,1429.4604976329638,360.0310580807223,382.76562700102016,323.0916651074184,734.7496550893709,384.47336161933447,227.18811679386022
2010,1903.5734083323146,1855.7856199374194,1837.722628062705,2312.917148099218,1755.2889242019523,1855.5761621295276,677.0415646799655,645.3482935829516,576.1808884333126,766.3643779647986,751.8248588387044,721.1500396507543,1413.7774838595865,489.7959244727281,442.00813607783294,423.94514420311856,899.1396642396319,341.5114403423659,441.79867826994115
2011,2102.4048441154823,2108.54228348246,2217.990041039297,2603.136452470933,2083.8461982147983,1945.9139663747221,642.8730406326202,646.2313394206853,567.0814244622524,737.3472821297023,725.5096776489985,684.0192596449385,1910.1267644335592,192.27807968192297,198.4155190489005,307.863276605738,693.0096880373738,173.71943378123933,35.78720194116301
2012,2021.9315451635384,1965.4311750328245,1990.028701785538,2301.9275640842106,1939.4335174366663,1760.250662378944,633.9018729936876,642.3814131724073,583.1741376115652,693.0598487801066,739.4456323663469,599.6397548641796,1717.5724148425845,304.3591303209539,247.85876019023982,272.45628694295345,584.3551492416263,221.86110259408176,42.67824753635943
2013,2215.6515096402486,2120.6237175157767,2005.8690228621886,2549.2202067382145,2075.27616602992,1870.863717242456,725.6068442739302,700.4366014978339,671.9634598578039,809.4107164681042,790.8986855290173,735.1885267061759,1574.7474359922676,640.904073647981,545.8762815235093,431.121586869921,974.472770745947,500.5287300376526,296.1162812501884
