water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,1066.5648946495257,899.9510655618976,1079.4976216963219,877.0157540343854,960.0480196437011,866.9384548817526,758.4628066115927,812.9935410125393,656.2564100237083,783.2815000247216,714.7483944245013,787.4904023723332,255.12211086217292,811.4427837873529,644.8289546997247,824.3755108341488,621.8936431722126,704.9259087815282,611.8163440195797
2005,824.400825011557,666.9356215432688,728.4240992519683,637.6852236895744,692.6001848182592,643.3711549019115,786.3899514098363,787.9948572719592,684.6623906884557,832.1357115023358,723.7654363476556,824.921560288396,198.59538182239896,625.805443189158,468.3402397208698,529.8287174295693,439.0898418671754,494.00480299586025,444.77577307951253
2006,1036.7449181866527,789.7657829778464,959.0154730548351,770.0158710795129,829.155539963269,783.7321315789975,738.0951244146802,749.3589633383832,671.9676457938185,736.4979676256721,731.0222396292409,773.8416585409966,216.41167319974704,820.3332449869058,573.3541097780994,742.603799855088,553.6041978797659,612.743866763522,567.3204583792505
2007,884.5698247456562,690.3155722784647,751.3746905116576,671.5033503980436,713.0347648605915,698.862291305945,754.3648161634958,735.5822930879688,700.42613552043,752.3977002951922,732.7854754335073,809.5217512666047,177.54710233452002,707.0227224111361,512.7684699439448,573.8275881771376,493.9562480635235,535.4876625260714,521.315188971425
2008,1039.741738566434,837.4598576377388,1003.4462839970207,811.6047309610592,852.7304201936055,766.4242908450937,718.4510833025535,639.9415945649955,729.8595392414793,753.3165762560593,712.5733119064463,770.8603840877763,291.7798437280634,747.9618948383704,545.6800139096754,711.6664402689573,519.8248872329958,560.9505764655421,474.64444711703027
2009,1056.3624266072688,854.0223780915253,998.3789663097133,845.5675768511417,897.286117684262,831.6722936020246,732.5547944730523,752.0578484905523,683.2704367921098,727.0346174545382,724.6824506370496,756.4287516217148,336.7622122897041,719.6002143175648,517.2601658018211,661.6167540200091,508.80536456143756,560.5239053945578,494.91008131232053
2010,958.875953396665,791.0845740862927,878.587400399748,722.3745827738348,789.9716910550937,735.1964934854896,726.2271288649908,773.0944163249225,641.07580063459,743.5007923281364,709.4706644866129,740.8195549978362,229.99190645538894,728.8840469412761,561.0926676309039,648.5954939443591,492.38267631844593,559.9797845997048,505.2045870301006
2011,1133.9026774389022,952.0716331133907,1144.1138797171102,915.0819323386248,983.1151941140085,916.1640480384123,593.6171933123488,571.647503721907,564.0509375671693,630.6724098860599,598.311139398385,627.640496385164,444.6690801706758,689.2335972682265,507.402552942715,699.4447995464345,470.41285216794904,538.4461139433328,471.4949678677366
2012,974.4680161333711,778.5614720685979,905.1168309429765,718.0410101549013,825.52605302199,722.1626577731571,708.4790377980905,702.2311119639654,631.997849936158,731.3753345807795,772.8469050396855,667.6240568892104,238.04001612427285,736.4280000090982,540.5214559443251,667.0768148187037,480.0009940306285,587.4860368977172,484.1226416488842
2013,1045.9965635606347,793.686322032887,851.4921395887498,747.7044274829753,833.8848106740035,819.7421771734804,701.7079662470804,663.015178818228,708.8813272913783,703.6008728369607,727.4830747492042,712.4726291662199,185.13377422465913,860.8627893359755,608.5525478082278,666.3583653640907,562.5706532583163,648.7510364493444,634.6084029488212
2014,980.8832010223296,783.0613754715106,908.9952257319303,776.0047105793211,819.967974734214,741.2218239948392,752.8539293721428,785.1331979807685,745.2511233644362,737.1295288654721,746.3353062034932,763.664117668562,284.01627533320135,696.8669256891282,499.0451001383092,624.9789503987289,491.98843524611976,535.9516994010125,457.2055486616377
2015,908.0116278030457,728.7234969522198,761.5886924791122,710.7681484389989,741.8778616685167,784.7399643341713,804.0456562772897,735.5647650986267,816.9160796465,783.6670048641479,800.203144525467,818.8578933519495,193.46538318543477,714.5462446176109,535.258113766785,568.1233092936775,517.3027652535641,548.4124784830819,591.2745811487365
2019,1127.6299532288722,856.5901966563825,918.1605036615666,896.424365618406,905.820884367735,859.7131068857229,748.730114971991,748.9314580904777,733.2546261777536,747.9823303517893,707.5496688468508,789.3177957073939,313.3969653065715,814.2329879223007,543.1932313498111,604.7635383549953,583.0274003118346,592.4239190611635,546.3161415791516
2022,1098.0650827865447,842.4166061180326,925.6982573988766,854.3793453565606,896.1417211663224,884.7627384350759,761.002469886626,756.2517266610913,689.9603548078171,750.3152870563592,785.6986629403239,778.7662164771359,349.167410312343,748.8976724742016,493.2491958056897,576.5308470865336,505.2119350442176,546.9743108539794,535.5953281227329
