water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,980.6495247721449,858.1827612154856,938.7485754495056,701.4256895288214,781.7609140473584,722.3596362118884,780.2786002738362,797.0075826099055,581.4188850237443,894.7711633814472,730.3059112736307,838.2995001771582,207.94888604382507,772.70063872832,650.2338751716605,730.7996894056805,493.47680348499637,573.8120280035333,514.4107501680634
2005,977.3847108304469,888.9189898550659,552.0220905646327,863.4840792079397,816.8353621753181,758.3291157895436,764.1483411805876,812.9902462101633,565.4102728350041,900.2556381374309,704.9639569628766,788.9513566609097,184.52400169422924,792.8607091362177,704.3949881608366,367.4980888704034,678.9600775137104,632.3113604810889,573.8051140953144
2006,1372.9291010400161,1218.0425573943112,885.0865282975037,1285.2817767849156,1187.5347215576394,1114.4271937849114,752.7171999309892,804.7743939450795,528.3413397370172,857.1762961111467,728.9283796484899,789.0679663174354,530.1047719969165,842.8243290430995,687.9377853973948,354.9817563005872,755.1770047879992,657.4299495607228,584.3224217879949
2007,839.3596545755076,697.7799901306336,540.3921695888433,758.4722673382167,719.6855370398332,715.4438190166593,782.9186167105952,831.3508289349811,550.7973796279774,914.5657099571386,739.9100187943877,785.5806964474502,173.7923214420729,665.5673331334347,523.9876686885607,366.59984814677046,584.6799458961437,545.8932155977602,541.6514975745864
2008,869.6030197824027,752.0952385945263,491.00863984722787,734.6243189090612,712.2050613207405,656.2597081722416,737.504170140922,793.765574098526,522.7087970379873,835.4055192986773,722.47412858331,780.1263378396402,174.87695959347565,694.7260601889269,577.2182790010507,316.13168025375217,559.7473593155856,537.3281017272648,481.3827485787659
2009,800.409222390717,651.7706941796296,482.08825391703914,591.3744687863624,659.1655536486671,599.9337654090887,767.3614371198288,765.1122097566976,582.2950732925449,853.2810390065769,751.2709150509521,809.4555819699062,114.05649366113839,686.3527287295786,537.7142005184912,368.03176025590074,477.317975125224,545.1090599875288,485.8772717479503
2010,1045.288542724979,881.7394739814035,621.2025300832479,848.1972320016711,738.1935727133178,799.8082211052885,734.4020261787522,766.3359805160143,544.7560938564845,875.718497767655,701.3706265053785,797.3602957616159,196.02690464291004,849.2616380820688,685.7125693384936,425.17562544033785,652.170327358761,542.1666680704078,603.7813164623784
2011,1190.7125421830067,986.2466292876117,810.1177680276357,1031.249672274518,980.4895958078071,882.2411624577566,721.4691780658659,757.4048451682959,509.2597173194623,869.4791045012638,694.9990231925631,744.5024917739316,325.61444342337137,865.0980987596353,660.6321858642403,484.5033246042644,705.6352288511465,654.8751523844358,556.6267190343851
2012,947.6718305168251,699.3231343775715,473.5219158555874,739.9600088667694,688.1111201925875,694.0885902063895,773.2155582752264,731.1109602355898,586.1533237170922,892.2695572523744,787.5146594079653,783.1512590148509,184.3823712771079,763.2894592397173,514.9407631004635,289.1395445784795,555.5776375896615,503.72874891547957,509.7062189292816
2013,883.253082603773,803.7377238054322,580.2577028317436,796.6662924784441,773.093228990621,755.574711681145,786.7729845583779,734.8776986738204,615.7903430889503,884.8679969450798,800.5956362184396,811.3713392128319,138.2754226152195,744.9776599885536,665.4623011902128,441.98228021652415,658.3908698632247,634.8178063754016,617.2992890659256
2014,571.0028781477225,517.5861804937015,397.6309316157864,543.9958738289527,522.6252257906158,587.1465174346984,824.2525446315053,815.035921535409,627.0299004060445,926.1094520796034,816.1635109047821,829.1614864712008,71.83382909322403,499.1690490544985,445.7523514004774,325.79710252256234,472.1620447357286,450.7913966973918,515.3126883414744
2015,854.113143205145,803.1616088838186,570.7067662834882,840.4945594306624,749.9201532087739,834.2669139066327,817.6217081106568,739.125604841014,674.6242817317468,938.6396629026447,765.270914123804,855.4581307157289,171.37772413168045,682.7354190734646,631.7838847521383,399.32904215180776,669.116835298982,578.5424290770935,662.8891897749522
2016,1079.8975436005994,985.9876467177436,627.365155697051,1016.9393027232453,982.3816905631318,968.1624257374544,812.2397369511651,747.6336739605349,603.206491763016,963.345918189455,742.8892479213015,861.535003540706,287.48072917028964,792.4168144303098,698.5069175474539,339.8844265267614,729.4585735529556,694.9009613928421,680.6816965671647
2017,1462.2522975082638,1339.9803280745366,863.9227026755234,1236.8715087679393,1305.426952050891,1211.040601033428,774.2740874779098,765.5956694354131,522.0991096381938,876.1785299913555,712.6544337087003,842.2946382892083,505.40524870040883,956.847048807855,834.5750793741279,358.51745397511456,731.4662600675306,800.0217033504822,705.635352333019
2018,733.7019817418533,562.8318291970116,396.9573521386892,540.5556865266136,545.7264734574023,569.6768581753705,801.129613519894,772.048382048455,594.7696288283831,915.8691757046876,774.6628135185692,795.5916234152786,108.08797880851382,625.6140029333394,454.74385038849783,288.86937333017534,432.4677077180998,437.6384946488885,461.58887936685664
2019,1085.1019938502661,944.142674458377,570.00737617123,872.3439714361375,881.7477745253524,900.6090378196817,773.4023672437012,755.0351418013163,577.4889874718648,890.473759812991,712.4343644960599,804.6938262473996,239.58816055055777,845.5138332997083,704.5545139078191,330.4192156206723,632.7558108855796,642.1596139747946,661.020877269124
2020,631.447072944095,500.43723806022814,350.32115938768146,479.74414965726373,469.2795699210813,532.8153516356361,795.8635335913483,778.2762614313833,598.8134578111458,903.4787618562466,743.996624048648,856.4966004992446,71.37179858035381,560.0752743637412,429.0654394798744,278.94936080732765,408.3723510769099,397.9077713407275,461.44355305528234
2021,639.9621723779626,480.26971580227433,357.5094097115961,540.9302462183372,466.9512734891843,526.2651124104387,819.4018363968738,823.8905040611309,620.294807727101,904.213111602036,769.149933788923,867.967514848909,64.04463184968151,575.917540528281,416.22508395259285,293.4647778619146,476.88561436865564,402.90664163950277,462.22048056075727
2022,779.6164634675198,603.1784824008977,378.33294974508976,616.5913305188416,561.838918824102,611.4843997119052,751.01970108713,700.6319222785539,574.20609087349,871.2281256763872,689.845839375644,812.6210090504132,80.52518204363055,699.0912814238893,522.6533003572671,297.8077677014592,536.066148475211,481.3137367804715,530.9592176682747
2023,1096.846261189773,856.2219155567269,525.9139978860352,890.2973549336908,822.4316577741041,891.3315095372882,752.4072751516885,746.6792748820991,578.2192560388596,859.6699523790787,677.5783406518167,816.8794993154108,217.36825437746367,879.4780068123093,638.8536611792632,308.5457435085715,672.9291005562271,605.0634033966404,673.9632551598245
