water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,943.6120206195977,1149.1098686807122,1055.9932109036904,1057.5181796423174,1192.5175136389053,593.1229243102545,569.6943599549869,651.999930310886,523.5409988756408,648.0522757825129,645.4106559291012,609.4969007873251,610.5775052641402,333.03451535545753,538.532363416572,445.41570563955025,446.9406743781773,581.940008374765,-17.454580953885703
2005,861.8819698820196,1108.7851162420554,869.9014621623819,1037.0901805834158,1139.759123442342,582.6040461633704,628.2996518594323,666.6880299282691,553.7643778583537,694.3321819114408,685.5580231345787,627.0577133400807,643.2433006187789,218.63866926324062,465.5418156232764,226.65816154360297,393.8468799646369,496.515822823563,-60.63925445540853
2006,957.6779148621256,1162.1735889640784,1085.9804481311178,1136.324578276422,1211.3170451952446,679.5513641853566,638.2226079677886,677.9022678783222,614.2946204201774,680.4726110574786,746.396016603172,632.7531855879494,752.7066609912562,204.97125387086942,409.46692797282213,333.27378713986155,383.6179172851659,458.61038420398836,-73.1552968058996
2007,881.9991421195863,1083.8394190823178,1015.1869080699986,1004.1561042762986,1151.231503521245,565.2666868725443,635.9256726699259,625.4488873624568,577.0364752515957,649.4831472795149,760.0307198333303,669.2159033828411,678.0543864177389,203.9447557018474,405.78503266457903,337.13252165225964,326.1017178585597,473.1771171035061,-112.78769954519467
2008,995.6866612982193,1279.7338382701537,1175.3228065812868,1132.0388409633395,1271.201424233163,551.4730620453195,575.256639555149,560.8370310124294,561.842628284691,645.877023756341,688.8873328727032,613.4416048113956,822.3789983405017,173.3076629577176,457.3548399296519,352.94380824078513,309.65984262283786,448.8224258926613,-270.9059362951822
2009,898.0604912893602,1044.462343132186,889.2367994677636,1045.1453907349032,1155.5013990459668,591.039370146377,608.7723434232911,640.0843091814598,564.1620010682013,624.2345215979476,711.583482170324,625.2360797291683,551.6784039270634,346.38208736229683,492.7839392051227,337.55839554070025,493.4669868078399,603.8229951189033,39.360966219313596
2010,945.1296644829532,1168.7220341942605,837.7363033941851,1115.928420558602,1102.618083154379,647.4886768505052,577.0945998452124,637.1880943295777,566.5886456778569,610.7146712087001,676.2908145360504,617.8640437625926,653.1355358520525,291.99412863090066,515.5864983422078,184.6007675421327,462.79288470654967,449.48254730232645,-5.646859001547362
2012,995.8450545163739,1217.1619495524294,1074.3814502516605,1094.8211369786509,1317.6455279905888,635.0426237989005,543.0050720112016,521.8440899056875,499.7050245878444,650.1948939439949,689.2843641210598,590.783892433591,863.0200208356298,132.82503368074413,354.1419287167996,211.36142941603083,231.80111614302118,454.6255071549591,-227.9773970367292
2013,1041.1498404419397,1229.9848859794386,1097.4020600360097,1159.7459680734837,1324.7094027451096,711.5130013844528,589.6748138225072,611.3641404216349,537.9077518543768,662.65798118579,678.5582184363311,631.7606749847575,750.2051373465116,290.94470309542805,479.77974863292707,347.19692268949814,409.5408307269721,574.504265398598,-38.69213596205884
2014,1040.356844436655,1225.8643790854812,1233.1453496883976,1149.350512923006,1325.4526174059476,678.0369818780885,586.1773916347541,634.9597548783195,515.1593353213102,613.0683637007226,660.0709935299524,627.0534821227991,867.2812913976553,173.07555303899954,358.58308768782604,365.8640582907422,282.06922152535054,458.17132600829234,-189.24430951956685
