water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,837.9812383578476,804.0984664613293,865.8612203833444,799.9383218880017,820.4393762969551,668.35475220747,690.9634394940077,668.7939044288437,618.8643639141521,755.0662407365692,590.9373062782696,762.0966041712833,1932.0057605824704,-1094.0245222246228,-1127.9072941211411,-1066.144540199126,-1132.0674386944688,-1111.5663842855154,-1263.6510083750004
2005,671.8862311237889,588.7944777703326,566.1417130253792,590.0178859155633,599.9255061210237,530.6700062702104,693.6134958366725,668.6850243550407,608.1443794889364,746.3544794439194,596.6639631273013,754.2243829986999,1662.0689574495925,-990.1827263258035,-1073.27447967926,-1095.927244424213,-1072.0510715340292,-1062.1434513285687,-1131.398951179382
2006,869.3740024944634,767.1467565617105,845.7226830470189,749.8675158099343,769.713956746344,650.7438499162383,672.5868878992973,626.7407969761975,631.9076318556315,703.9613656374147,605.9860548726973,719.5139574096286,2063.247370340339,-1193.8733678458755,-1296.1006137786283,-1217.5246872933199,-1313.3798545304046,-1293.5334135939947,-1412.5035204241005
2007,724.3782837519905,647.2532466639717,684.9443044597991,639.9344966023187,657.9003451760511,550.1234294238071,669.5098293470181,595.2601278028512,653.4505922703518,717.5072827217743,607.9861323989481,710.9851120804632,1836.4683800395783,-1112.0900962875878,-1189.2151333756065,-1151.524075579779,-1196.5338834372594,-1178.5680348635271,-1286.344950615771
2008,791.7492315748748,752.7959925313936,848.0465008254955,735.1983366767911,767.9137195115668,589.3786957689631,640.1224006063086,561.7003601400688,650.6636318224396,686.2319422199771,578.0400351850469,689.3545799324028,2380.00663150494,-1588.2573999300648,-1627.2106389735463,-1531.9601306794443,-1644.8082948281487,-1612.092911993373,-1790.6279357359767
2009,813.7086956858839,757.58489826304,836.1290715426177,759.7550853160562,744.1822597126819,636.5057475440705,632.8199345085031,598.7391652270401,597.5169615341388,674.9058768458057,585.8362480876216,670.9839938664282,2347.6142151289946,-1533.9055194431105,-1590.0293168659546,-1511.4851435863768,-1587.8591298129384,-1603.4319554163126,-1711.108467584924
2010,792.5305394347118,704.3498967807723,664.1001366134057,722.2891358205732,657.8182166255451,618.7307712894415,679.0096822179269,668.8542887664867,581.3488326919581,746.1650275371471,593.3134581014416,698.7084210926536,1584.3255543638666,-791.7950149291546,-879.9756575830942,-920.2254177504609,-862.0364185432934,-926.5073377383213,-965.594783074425
2011,933.1423799013523,892.5743012456758,950.2074921842544,928.5726202427713,891.5976414711278,737.8549984772721,571.8260659137967,554.6949874150948,522.0342320012935,645.8286669878873,524.2724390752747,618.3033010868696,3201.21192236668,-2268.0695424653277,-2308.637621121004,-2251.0044301824255,-2272.6393021239087,-2309.6142808955524,-2463.356923889408
2012,845.6439763423219,769.7488036749681,795.5133362973655,770.7715340593356,778.5218842296787,624.3735142816417,643.5828551175912,617.6171791891159,600.4179698676198,693.8308265549176,590.509890873719,660.5482581697235,2386.2894531983557,-1540.6454768560336,-1616.5406495233874,-1590.77611690099,-1615.5179191390198,-1607.7675689686769,-1761.9159389167137
2013,878.1401980793117,751.5545953306778,824.7144692537266,740.5960800803143,759.0042957401479,655.5133002205662,642.2989677210048,561.5388203230601,630.5964465176712,670.1828459861266,617.5029283350569,676.8727846690048,1814.9255587513057,-936.7853606719939,-1063.370963420628,-990.211089497579,-1074.3294786709912,-1055.9212630111579,-1159.4122585307393
2014,751.4850252023815,680.6911177407677,736.7972477641201,687.4958034361523,685.637530692743,563.7918619338001,695.4645103067247,697.0151289388867,652.0995793436334,717.5039616091577,625.0131063912567,716.3315990509379,2530.2691130647004,-1778.7840878623188,-1849.5779953239326,-1793.47186530058,-1842.7733096285478,-1844.6315823719572,-1966.4772511309002
2015,715.7444893877772,655.2974057224243,679.8148285839045,683.7207951838774,665.7241987243805,613.8340609629031,722.8936798217799,664.325244798817,702.3516617449712,718.1721490273301,692.23022404735,737.185182103618,1770.6250502059634,-1054.8805608181863,-1115.3276444835392,-1090.8102216220589,-1086.904255022086,-1104.900851481583,-1156.7909892430605
2016,821.1376622634037,774.7815260261684,792.2899008023954,801.0039277712209,768.1878082907226,668.4612202549193,704.3601520587208,671.4752948181541,643.8355371389426,716.481708572647,673.7402804363826,705.6326425279979,1981.201818130787,-1160.064155867383,-1206.4202921046185,-1188.9119173283916,-1180.197890359566,-1213.0140098400643,-1312.7405978758677
2018,903.4693925572982,836.6684512741887,950.2825082497278,870.9926326182153,845.1857397434467,717.2948918433306,694.7508621535942,685.4557609069733,612.8097905227023,735.1309246648511,637.5101430131289,714.3820336911667,2806.3524162971353,-1902.8830237398372,-1969.6839650229467,-1856.0699080474076,-1935.3597836789202,-1961.1666765536886,-2089.057524453805
2019,854.2692711889098,779.5097128022712,793.4297555552013,838.5741440194162,780.6856644348219,659.0452969860745,689.580394405053,623.6077711828915,625.830186090526,734.7320486700174,623.5155534410557,733.2843374522132,2124.704352418627,-1270.4350812297173,-1345.1946396163557,-1331.2745968634256,-1286.130208399211,-1344.0186879838052,-1465.6590554325526
2022,953.1484350328765,822.2309689329826,803.536568753124,853.7885791630649,831.8837668469536,739.1478568308002,710.2978597005927,654.9180193729816,647.2188664553585,717.9057404161243,674.7305175747848,747.3258893728238,2492.239397836845,-1539.0909628039685,-1670.0084289038623,-1688.7028290837209,-1638.4508186737798,-1660.3556309898916,-1753.0915410060447
