water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,519.3760442771513,407.1658521015551,523.6865812077062,380.30749684607775,396.81643103683393,412.97056663166984,376.9613525909424,373.1078029919269,244.45372099102863,601.2374228971171,324.7907864034475,390.0807169523835,224.6629293286169,294.71311494853444,182.50292277293818,299.0236518790893,155.64456751746084,172.153501708217,188.3076373030529
2005,452.8451254146342,290.29616050016693,389.96462741838565,272.04219258587045,288.40936261055515,326.4842327561345,375.03196157963293,386.71757934369725,267.0347998988282,560.4454922105416,320.1553996725312,381.9305204843792,141.94448038927806,310.90064502535614,148.35168011088885,248.0201470291076,130.09771219659237,146.46488222127707,184.53975236685645
2006,566.2815563600427,447.87600982025344,478.6864358000339,417.6885177998638,440.89806952303843,470.7913416798218,373.2888032339108,384.55946436364036,245.3092893412489,517.7029783012258,331.4464502911211,414.7340223727965,308.9812385983219,257.30031776172086,138.8947712219315,169.70519720171197,108.70727920154191,131.91683092471655,161.8101030814999
2007,474.6574961864941,336.2884135345446,375.6206450249525,322.95230193094693,327.115404977976,356.8155139912295,379.81038903370654,368.4159540460112,273.9375192587099,571.2889478780228,344.99712470018244,390.721375774639,156.6318162067154,318.0256799797787,179.65659732782916,218.9888288182371,166.32048572423147,170.48358877126063,200.1836977845141
2008,496.5107511855391,314.194129473931,366.0263814778704,283.0706378477962,306.82164605012895,326.7883108363427,337.49399612467585,301.2988500414057,230.74745160963445,525.1351535274017,322.6281064868155,369.68243445930335,263.05483737493176,233.45591381060737,51.13929209899927,102.97154410293868,20.015800472864463,43.766808675197176,63.733473461410945
2009,447.4324191211637,268.2503328798578,354.87105237581073,252.48289048334664,271.25272878795244,297.8182836681228,318.82085686048157,304.18778357721845,232.01454504180668,484.609507846859,316.22819319718394,314.39302262113443,204.14463809371742,243.28778102744633,64.10569478614038,150.72641428209334,48.33825238962922,67.10809069423505,93.67364557440536
2010,513.3511732578254,419.74973140262415,412.8387942599238,395.60067884423535,384.3724228491952,424.5699703650049,387.6140561348116,414.6805346094589,270.4151979754722,612.3814739167541,323.71872761033006,366.77500115940825,187.58936859297654,325.76180466484885,232.1603628096476,225.24942566694722,208.0113102512588,196.78305425621863,236.98060177202834
2011,593.4282460829953,409.26642978982073,406.7534067556584,384.00552761297695,399.6534976000649,401.241588466442,374.55985293092647,422.77038053592855,236.60519626948673,587.3002968424444,315.6349804890046,357.93090254023843,457.7571495975937,135.67109648540156,-48.49071980777296,-51.00374284193532,-73.75162198461676,-58.103651997528814,-56.51556113115172
2012,500.61033013836357,314.46902323596373,320.46628273383357,303.0455241154454,311.05705831697327,322.1677328900894,362.112778515299,390.62603395537155,254.8227089731759,581.1627693721728,300.0314531432256,354.9654426518952,190.31582098871988,310.29450914964366,124.15320224724383,130.1504617451137,112.72970312672552,120.74123732825336,131.8519119013695
2013,501.4393804609254,362.5920908506852,453.76049143702767,341.4812892306069,384.2930869416931,353.56765472903845,349.4974717836067,356.028127299697,231.86654398959652,584.8943626182011,322.06665344077516,336.5795454674316,147.51909216295664,353.9202882979688,215.07299868772856,306.2413992740711,193.96219706765027,236.7739947787365,206.0485625660818
2014,429.2907800201217,295.79776281593314,385.70076108628984,304.3915214557741,309.31171492303645,331.5199583211821,407.8829636078587,432.8955153234245,284.9936210701674,611.3148133673972,358.5869604350852,402.884498586459,194.25238337895613,235.03839664116558,101.54537943697704,191.4483777073337,110.13913807681801,115.0593315440803,137.26757494222602
2015,393.5268519626348,267.9291359969206,327.8528947514841,256.41527047956004,275.2296443380391,327.30172979224733,356.5881156349986,388.88971216657757,234.48010679518066,531.819795977418,332.1253131376595,339.32673668032265,151.7038683985604,241.8229835640744,116.2252675983602,176.1490263529237,104.71140208099963,123.52577593947872,175.59786139368694
2016,506.54919256132416,329.91395510534676,397.41985902385915,319.4031583141579,322.71338547312416,374.4850898446715,371.1236929937673,389.09491486530527,261.08102163563933,560.6565632461013,336.7983893263491,348.6523135211189,198.43127976035493,308.11791280096924,131.48267534499183,198.98857926350422,120.97187855380302,124.28210571276924,176.0538100843166
