water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,731.2327353200851,597.7207955567831,885.2072923537919,564.796340736087,551.1568139456183,483.78526236024146,575.1048120856908,489.51355458399235,432.944901423185,735.4703438739404,547.4527196164873,660.7767617917531,125.85341037581752,605.3793249442675,471.8673851809656,759.3538819779743,438.9429303602695,425.30340356980076,357.93185198442393
2005,599.4822779175171,453.9090140414979,625.6686654157147,415.22976125437077,413.41293402582596,384.3588162357154,573.354361347187,528.8934200341905,444.5602332162549,700.2811087286989,547.7167551793773,621.199353572303,76.6709471842264,522.8113307332908,377.2380668572716,548.9977182314883,338.55881407014436,336.74198684159956,307.687869051489
2006,725.9777017745687,644.5295616504152,859.6445149067699,614.9884289863783,584.3507461387192,551.4296945857329,542.6918207533759,506.1235768988931,407.99244206419536,658.4075595013678,567.004877725393,587.4022420607298,140.2711103331752,585.7065914413935,504.2584513172399,719.3734045735947,474.71731865320305,444.079635805544,411.1585842525577
2007,607.1828493946521,405.7042194056169,599.1713391982871,410.2022868407635,394.1600381117342,385.29063665835474,590.1995028088234,504.1630151684928,466.84908697276234,705.8594226512503,561.2582556620011,682.8510105763663,77.65788265581429,529.5249667388377,328.04633674980266,521.5134565424728,332.5444041849492,316.5021554559199,307.6327540025404
2008,696.0862402310865,524.2376806552779,751.0612859962878,562.435696432474,504.6315228939926,448.7428542110377,523.7580956878338,435.70756378319527,415.2629983804324,646.1589714634563,540.4138562852901,622.9642832502805,140.8374922940357,555.2487479370508,383.40018836124216,610.223793702252,421.59820413843823,363.7940305999569,307.905361917002
2009,667.4903516510079,559.0382682041693,669.0514889756132,535.4002082878061,519.3901043794532,451.38220126742567,528.6171390624667,474.2174805893581,414.3378990327123,652.4971567886728,565.7415083134638,568.5275086360642,125.97777593059173,541.5125757204162,433.06049227357755,543.0737130450216,409.42243235721435,393.4123284488615,325.4044253368339
2010,682.336999643489,545.8793395632904,588.7614612190048,545.7783121175701,440.6356422338023,490.0251523485866,563.798154663261,507.40286333686106,453.2303634898103,714.1442200038537,540.3498857702208,635.7703646476233,99.46275348079122,582.8742461626978,446.4165860824991,489.2987077382136,446.3155586367788,341.172888753011,390.56239886779537
2011,800.0252192040191,654.5796496205248,771.1849375120111,668.4930356752624,588.2971467465657,565.6185881609027,547.480027758791,512.9449060975654,402.9755549900026,686.1682614684569,523.1387761277323,606.7988325256673,232.72885172204357,567.2963674819755,421.8507978984812,538.4560857899675,435.76418395321883,355.56829502452206,332.88973643885913
2012,668.536946427931,474.53313595011514,579.9305750110069,467.0294468877478,435.1139088863092,387.8504211712351,554.8209533530588,490.0965971304067,426.37623319460147,708.3097474783682,560.3974557838357,574.3661915206194,89.60234163797855,578.9346047899523,384.9307943121366,490.3282333730284,377.4271052497693,345.51156724833066,298.24807953325654
2013,717.2814245541504,503.51919952338017,653.4008650838705,535.0781281869173,472.62105730630304,476.1265281746687,560.6201516063436,473.56987999300543,459.56938178758196,685.7011559624377,580.3736065901481,603.0998672603276,77.50108428138658,639.7803402727637,426.01811524199354,575.899780802484,457.5770439055307,395.1199730249165,398.6254438932821
2014,620.1441078769105,483.55864846301307,640.7627052774875,510.0443229621942,436.9910621479236,450.3610091739358,636.4945326975514,618.6839850439105,501.1333838866647,735.9211574025916,631.7497034803112,675.8621555528733,110.65577264877801,509.4883352281326,372.9028758142351,530.1069326287095,399.3885503134162,326.33528949914563,339.70523652515783
2015,627.8219827849796,491.32335346029964,579.5141604825333,500.4209171037297,448.0094248662308,468.0911459348487,649.4193556778729,588.3706186055811,535.4944909341045,732.9796516994986,638.5964870509026,670.667846447197,78.70574890256002,549.1162338824195,412.61760455773964,500.80841157997327,421.7151682011697,369.3036759636708,389.38539703228867
2018,676.0881679223338,460.30866675383663,567.6248734547768,452.3715629097467,431.5051002966774,427.484455674847,628.3189923474437,621.3646506378352,480.01654017936875,751.132485454982,597.771802731721,672.2152809493074,66.72971561655663,609.3584523057772,393.57895113728,500.89515783822014,385.64184729319004,364.77538468012085,360.7547400582904
2021,551.7893883175275,433.2174113862588,447.7100194991,374.84084489729025,401.76969961715577,365.27930598441725,592.2030180749169,511.19619408159735,473.63881576112294,655.0350042995445,571.2309556634494,688.0135006421559,73.23724164172108,478.5521466758064,359.9801697445377,374.4727778573789,301.60360325556917,328.53245797543474,292.04206434269616
2022,759.1179918455388,586.5896756812588,575.1970667252449,503.0749797403119,555.7273602843877,465.88271304740715,654.4338193326378,637.7130703982933,519.2958775837126,719.4616446436718,631.9657996122636,687.8118921601911,100.12059122354226,658.9974006219966,486.4690844577166,475.07647550170265,402.95438851676965,455.6067690608454,365.7621218238649
2023,708.0229989682854,611.3522646882827,608.4097356124354,544.0827596882286,573.8518005571071,488.4875150776861,637.6631936556147,627.861613217263,516.7531829801494,669.9397975180336,589.3729064204585,717.9835901741073,123.39984372136976,584.6231552469156,487.95242096691294,485.00989189106565,420.68291596685884,450.45195683573735,365.0876713563163
