water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,642.104037318141,869.2255051003091,693.7877973615332,875.991828186597,833.2328204070186,844.327080473571,723.4614543600375,690.9461432902887,552.4022661664544,910.619913431852,821.587724368671,562.9073667791868,351.7625050992545,290.3415322188864,517.4630000010545,342.02529226227875,524.2293230873426,481.47031530776417,492.5645753743166
2005,813.8032815605217,1080.1299094227413,1029.303508903755,1068.6137302407828,1028.054288067223,972.0019601403504,769.6497784649836,762.2420375179036,601.2085471453457,982.2079083455552,772.938872496177,659.5803309155864,199.27427860538313,614.5290029551385,880.8556308173584,830.0292302983721,869.3394516353997,828.7800094618401,772.7276815349674
2006,942.3478788354184,1269.7166007960857,1261.118261525516,1280.3698953341195,1245.5746417028704,1213.9743886553513,700.9954710581355,693.4692767979598,546.5075396257934,893.8970455491292,763.8085382242634,547.9686147983349,583.8492364071385,358.49864242828,685.8673643889472,677.2690251183775,696.520658926981,661.7254052957319,630.1251522482128
2007,356.1612104012461,489.60696698320834,486.1345212388553,480.202221583443,470.1058499719083,543.9522305155431,703.5665968730925,649.6957366920518,541.9239417694378,887.2082465823521,800.5514733844082,535.2806418217808,174.14839569734272,182.01281470390336,315.4585712858656,311.9861255415126,306.0538258861003,295.9574542745655,369.80383481820036
2008,510.15065254091365,667.127879293857,704.3407217901452,682.2423094853909,638.5841385858827,688.573913601434,698.1131422900319,645.266666794508,528.4857459909099,873.7242413806107,811.3746804613874,527.5045902832417,177.8252027417476,332.32544979916605,489.30267655210935,526.5155190483976,504.41710674364344,460.75893584413507,510.7487108596864
2009,472.579594786722,666.8267507881569,532.6495090926632,664.6602894073203,614.0127703891353,677.1447216591954,697.3675232527639,606.8419502652093,542.8653698894764,886.6612560673531,793.9814994326401,558.1226496116477,173.28395258817912,299.29564219854285,493.5427981999778,359.365556504484,491.37633681914116,440.7288178009563,503.8607690710163
2010,743.6260501590464,944.9087450803332,1002.52126700793,966.2231840481763,897.6125333842559,922.047053906879,733.2324371056395,698.5184712927518,610.2493372956233,894.0276032619487,766.2509283946063,589.1396368074062,149.16603315852046,594.4600170005259,795.7427119218128,853.3552338494096,817.0571508896558,748.4465002257355,772.8810207483585
2011,771.7160795785652,1103.0397522478465,990.4979333696667,1042.2529361038112,1046.7915506329136,987.8089607975401,716.5630357568657,693.4121612194974,540.1960424867418,954.4327209351687,716.7465532894098,594.2261940969712,147.5748918418371,624.1411877367282,955.4648604060093,842.9230415278296,894.678044261974,899.2166587910766,840.2340689557032
2012,442.38280653018,630.7143799853659,561.6078726002177,612.3042693075097,595.9509711516798,646.4212380974583,732.084069654032,662.7883055879332,546.1199730859495,946.3116678767664,833.0896660514717,576.2429791157965,168.37985868426347,274.00294784591654,462.3345213011024,393.2280139159542,443.92441062324616,427.57111246741636,478.04137941319476
2013,519.4201124909621,711.2661456819238,708.5508491961803,743.424603366314,708.446009889844,723.1157054187879,737.698060025869,666.4192719281771,550.0959192388489,923.8132222664675,871.2735285241151,590.1140010075206,190.6643559325024,328.7557565584597,520.6017897494214,517.8864932636778,552.7602474338116,517.7816539573416,532.4513494862855
