water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,667.9497415295646,531.6292004989807,665.2756331525472,591.1103904517148,526.8680590318004,431.327025848326,579.077137808098,665.8400247400398,541.1484439936105,586.5699399304152,521.2555918794692,654.5682610535029,24.210274750495543,643.739466779069,507.41892574848515,641.0653584020517,566.9001157012193,502.6577842813048,407.1167510978305
2005,659.0877465009668,531.0525342628008,649.412337055428,576.7621182392085,534.2127970595602,447.5863577676332,607.8905842491174,659.1296708418373,577.8568021349481,627.6660392029431,512.463863815519,683.2114699155251,16.758316487718346,642.3294300132484,514.2942177750825,632.6540205677097,560.0038017514901,517.4544805718418,430.8280412799149
2006,714.1839981710716,594.7911575871659,756.6691983950928,667.7419446340216,581.5153878853882,462.2502534080343,563.0402355643624,632.495601914403,534.7317431722703,582.1145719964469,509.326740046419,611.5352373406783,73.20619134510709,640.9778068259645,521.5849662420588,683.4630070499858,594.5357532889145,508.30919654028116,389.0440620629272
2007,569.0741753497937,407.29653175776224,539.5856070539962,434.74846389268055,395.74817741607177,330.66305167295656,570.2913756259209,610.2140429182433,491.13476411458885,653.3244645314818,528.6440126537007,665.872978635799,39.687963157586196,529.3862121922075,367.60856860017606,499.89764389641,395.06050073509437,356.06021425848553,290.9750885153704
2009,832.9317334529751,637.4283068784589,694.312215642997,678.4791745755845,585.2873554735813,454.1409338277651,580.3679440497464,659.0232429683306,548.1197148073978,622.3167711364347,510.5382821970752,651.8689080468833,53.22397850378624,779.7077549491888,584.2043283746727,641.0882371392108,625.2551960717982,532.0633769697951,400.9169553239788
2012,521.7328747727996,455.5251455168964,511.68298502702817,456.5638092369051,411.83496498909346,328.37335124812387,581.0863403830149,635.4553046971465,545.7824107371539,605.9495992334907,536.9063338045527,697.4175565700806,52.11996903289218,469.61290573990743,403.4051764840042,459.563015994136,404.44384020401293,359.7149959562013,276.2533822152317
2013,524.3697803479281,485.35750069387825,501.430602666264,525.337560783143,454.4574257749906,376.007652637333,526.9268343086488,533.2739552246906,473.05185604063297,556.6408053208888,495.23180788048575,586.2476461512981,30.758279498887994,493.6115008490401,454.59922119499026,470.672323167376,494.579281284255,423.6991462761026,345.24937313844504
2014,701.3694102519919,591.0837489951894,724.277279767746,613.57325595035,571.478040379015,443.2651680763043,575.6421978779891,633.5766503266188,540.7322363551442,620.7252878452572,528.4759983303601,585.2402448545934,19.788537733148367,681.5808725188435,571.2952112620411,704.4887420345976,593.7847182172017,551.6895026458667,423.47663034315593
