water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,1263.2992142549006,1522.547776303002,1296.4924007755621,1497.1616185098962,1531.4211316421788,956.25386085968,726.9711671712053,782.0724065185008,632.825744557368,784.8794195884666,730.7882594041591,749.6674320479856,817.999510992949,445.2997032619516,704.5482653100529,478.49288978261296,679.1621075169472,713.4216206492297,138.2543498667309
2005,981.553246960725,1073.8990520581137,853.5281206558835,1058.1172287074344,1109.0120030408948,707.6349996893023,775.1467909701119,785.9267533628449,676.5927115713985,834.6498540657534,758.336403543057,798.2054021240224,725.6579355113604,255.8953114493646,348.2411165467534,127.87018514452308,332.4592931960739,383.3540675295344,-18.02293582205814
2006,1286.120778518685,1454.2906705642945,1363.7570386226735,1413.2654416470518,1459.2174648660873,887.5463412370344,763.0088653200349,789.7918410493596,733.8086836628408,758.6098034803617,825.2804585979537,801.9271199620597,877.802312515922,408.31846600276293,576.4883580483724,485.9547261067513,535.4631291311298,581.4151523501654,9.74402872111246
2007,1129.870810326197,1278.1968019802162,1128.1614342496769,1257.7202345414405,1304.8491518657797,805.0226578755269,782.9640751940391,737.6300028908651,782.3447201505711,786.2197471500192,816.4943191367407,801.4272204855888,785.9532409794326,343.91756934676437,492.2435610007834,342.20819327024424,471.7669935620079,518.8959108863471,19.069416896094282
2008,1292.7627736832228,1585.1580405324723,1372.1696079649857,1567.2616077449575,1568.3406193159346,837.8306226963474,703.0568136053839,667.148758023339,747.9992982682636,751.5636032641108,751.1950537628377,750.6736802436283,986.2413357297128,306.5214379535101,598.9167048027596,385.92827223527297,581.0202720152446,582.0992835862218,-148.41071303336537
2009,1184.5728805710125,1389.0188856547954,1184.1593022991115,1331.5108656084633,1452.2609136573565,885.4908510397454,755.9327638279706,788.3905298359938,728.6520216830947,745.8319148702764,813.9852934405262,781.0876877390502,870.8620868043602,313.7107937666525,518.1567988504353,313.2972154947513,460.6487788041033,581.3988268529963,14.628764235385269
2010,1124.7336843002688,1224.178488383226,1024.3604459754754,1169.2474102402755,1122.536563102652,796.9956443045369,704.2159562611204,772.5081306376761,652.1865729337075,724.2851095475348,753.7493103306904,718.3905625364057,647.7993273738971,476.93435692637183,576.3791610093289,376.56111860157836,521.4480828663785,474.73723572875497,149.19631693063985
2011,1425.8827697846482,1691.2478539480132,1451.3785672438823,1632.523422466669,1677.1890671925262,957.7254640484484,647.400040805042,593.9654898741063,656.3859792412446,680.3547519692511,699.6155398034922,661.8113233525834,1215.456751693258,210.42601809139006,475.79110225475534,235.92181555062436,417.0666707734109,461.7323154992682,-257.7312876448096
2012,1310.1058098521764,1472.6506553071595,1306.3155146378456,1371.0245847310753,1473.4459230116906,849.4877321887886,690.9175600537419,677.6640458277523,701.3831372357241,742.6610942895496,795.0542752953932,705.1163644482058,1025.8536611720106,284.252148680166,446.7969941351489,280.4618534658352,345.17092355906465,447.5922618396802,-176.36592898322178
2013,1285.4824089247327,1421.2833906429232,1366.76233262112,1319.051307550813,1430.5686909390968,869.6026823355714,724.4479079252233,699.9680795547987,750.0788636400326,738.9692595761496,791.2434856341514,753.3191010155188,830.6625451198288,454.81986380490395,590.6208455230944,536.0997875012913,488.3887624309841,599.906145819268,38.94013721574265
2014,1224.6626811031338,1397.7329265497372,1335.6096953922588,1303.948534196533,1378.0946430448819,817.9843493191431,725.9200056048455,787.867244385327,721.1190180262283,727.8294520584927,772.672397664709,744.5436620949101,1022.7055701264868,201.957110976647,375.02735642325024,312.9041252657721,281.2429640700461,355.389072918395,-204.7212208073437
2015,1077.3035110577941,1220.9022947669007,1125.1787621024396,1146.0847631552385,1204.3274586878954,783.9423057742738,849.0099922420602,826.1652685915687,837.7687482567575,818.9216900291602,849.6508204318861,871.8342936386573,756.293720853705,321.00979020408914,464.6085739131958,368.8850412487346,389.79104230153354,448.0337378341904,27.648584920568865
2019,1192.6555671883884,1324.0204331228083,1163.7250807291969,1288.0280840073276,1321.8946233374436,809.665504861621,783.2575666772459,814.3937573373462,741.5454444565229,790.8190879283752,770.8536937338462,793.022452993387,761.5837669267314,431.0718002616569,562.4366661960768,402.1413138024655,526.4443170805962,560.3108564107122,48.08173793488952
2022,1341.3920354999295,1447.7463110815154,1457.741281609933,1426.8906317113085,1472.4773014352413,857.1747927199585,770.5126599823502,728.7900778737629,702.7854631535679,790.7127940329111,823.2273571329929,752.7257717126391,1005.8322101139137,335.559825386016,441.91410096760166,451.9090714960193,421.0584215973947,466.6450913213277,-148.65741739395514
