water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,891.5340339973825,900.005649711986,935.7638948840754,860.3402692261855,894.5444494613222,627.6765275642222,683.6089083088444,656.5136802267266,560.4856773543582,764.2384302383048,718.8920319209493,787.6615051668085,359.8310179638579,531.7030160335245,540.1746317481281,575.9328769202175,500.5092512623275,534.7134314974643,267.8455096003643
2005,800.0506650552978,699.0073192303648,743.4937290229257,696.2731364701674,709.2738290108866,541.0474014258073,721.4476035538905,666.6685451319637,707.3431518241209,798.8956001291908,715.5895468384927,768.0574803511638,360.8824514994242,439.16821355587365,338.12486773094065,382.6112775235016,335.3906849707432,348.3913775114625,180.16494992638306
2006,1084.130660402237,1082.9857631879643,1026.663301040669,1032.4277367025497,1061.0088388116515,820.200312666198,656.842290613285,654.5486143208343,572.8985430441176,720.883969796336,739.7399868916033,717.0775007284631,587.5073220874548,496.6233383147823,495.47844110050943,439.1559789532141,444.92041461509496,473.50151672419656,232.6929905787432
2007,775.541148908397,732.4295412667551,726.150526089109,684.5501230187889,716.138768397504,553.0980225566628,684.0787210334538,644.3586758024295,570.080241327188,739.5304770104061,749.192357480097,799.4977858117021,298.47610434560477,477.0650445627922,433.95343692115034,427.67442174350424,386.0740186731841,417.6626640518992,254.62191821105802
2009,923.6470783540659,832.8752057071857,875.231234533299,833.5323619483391,861.9536418342724,582.6053207727354,670.1135967247756,652.9215926531526,571.3173665448072,745.1770460775107,717.7146127760968,759.0298169217191,397.06519464781235,526.5818837062535,435.8100110593734,478.1660398854867,436.4671673005268,464.8884471864601,185.540126124923
2010,869.4413070852713,835.8905197494448,876.3397511839074,849.0182641316434,761.3319239118158,654.7382741562067,624.718785976305,658.3242198799794,512.2763066261186,696.7890514587425,697.3458358125592,687.2184132952272,394.14672960049285,475.29457748477836,441.7437901489519,482.1930215834146,454.8715345311505,367.18519431132296,260.5915445557138
2011,1015.8452429312176,980.836547834549,1101.7204670394603,954.3000742954036,975.7597689891558,661.2902715595811,562.6702310486226,519.6904743110014,482.50499332363916,625.9920432933741,617.4171043517595,634.8097923383738,568.6584925534486,447.1867503777691,412.1780552811005,533.0619744860119,385.64158174195506,407.1012764357072,92.63177900613253
2012,869.9192011984143,848.0061120875318,847.7943386528121,796.337642508143,857.3718310436057,546.7916692826421,610.912215046136,610.5885820663716,541.5716058045193,689.6604656585338,732.4337251964738,623.2862072176616,520.8608481056276,349.0583530927867,327.14526398190424,326.9334905471846,275.4767944025154,336.510982937978,25.93082117701451
2013,943.1474042483817,903.7801719784036,978.547336094264,955.345259804262,908.3713738157317,716.0756177481157,625.1901962365092,582.3777893219034,519.2592949192642,732.8841869198773,686.999995348254,690.393874283431,426.269498084288,516.8779061640937,477.5106738941156,552.277838009976,529.0757617199739,482.10187573144367,289.8061196638278
2014,869.5222374207858,780.6547766432521,885.2077571862392,735.3560174311788,780.0590920007068,622.9907729709947,670.4857580503584,672.9604492887206,599.9840620367919,732.0004957681813,730.7748422294303,745.1237401520098,415.2556499118845,454.26658750890124,365.39912673136763,469.95210727435466,320.10036751929425,364.8034420888222,207.73512305911015
2015,807.7221203769948,749.4351563239009,729.5264444516849,745.543213918626,762.8920544711224,679.0739375417802,748.2395906782002,659.3786552453438,643.7214178773719,820.7602361230495,734.219303198995,773.0611598524767,298.1682079208595,509.5539124561353,451.26694840304134,431.35823653082537,447.3750059977664,464.7238465502628,380.9057296209206
2019,1029.8759907387782,961.0975088064681,860.0182725631904,979.0111821720819,935.1451929397398,702.0006724998702,699.1379525711254,607.4627205513115,575.8989595990521,765.217892577012,652.4695545305764,765.6453238966847,468.0839616357162,561.792029103062,493.01354717075196,391.9343109274742,510.9272205363657,467.06123130402364,233.916710864154
