water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,1077.9898851192177,1286.5551524071484,1090.1427259720538,1193.7085687275512,1316.4391790708853,1147.2099001572633,899.3700558083115,932.3242766545766,690.2141651806475,964.9242432615584,1061.631866088927,909.5539449580442,388.887677089085,689.1022080301326,897.6674753180633,701.2550488829688,804.8208916384662,927.5515019818004,758.3222230681782
2005,1502.4501350130733,1746.3550324726673,1676.2505466826603,1612.1506879210638,1716.7281993692386,1426.6996282810146,867.648693470802,932.9189511430682,661.377451290116,975.2421943469002,986.3612943591877,876.7228405180784,525.2125140627596,977.2376209503136,1221.1425184099078,1151.0380326199008,1086.9381738583043,1191.5156853064789,901.487114218255
2006,2039.1518101244046,2401.221498879433,2289.50638288526,2181.730142556716,2342.734761895529,2016.1419854121175,859.3309167178711,911.0055566063551,645.3123087619527,926.4318939905222,1019.8405559270586,829.8602330744549,1376.2575076868543,662.8943024375502,1024.9639911925788,913.2488751984057,805.4726348698618,966.4772542086749,639.8844777252633
2007,996.4684664564488,1134.7377666289726,1074.7309622559937,1039.5649152987924,1181.8807054784706,1063.5986282025788,932.6335134445743,984.7605051008728,759.7517701994659,962.9315657028776,1095.0133980069445,889.3859018540783,258.57154193827967,737.8969245181693,876.166224690693,816.1594203177142,780.9933733605126,923.309163540191,805.0270862642991
2008,951.4929811135723,1073.8877354248307,947.5486810624446,996.7112422475482,1128.5182132740083,952.0752862103303,857.3641406305719,922.6310025376683,669.679982031245,886.6787349498192,1125.5743313502933,801.073674375563,235.06491042363507,716.4280706899373,838.8228250011956,712.4837706388096,761.6463318239131,893.4533028503732,717.0103757866952
2009,1282.3167806921854,1366.0886243677446,1182.7818356616378,1256.4180509707724,1426.230268298547,1213.114711616747,871.870981461363,897.8705470380199,721.1474595328434,909.768674791708,1068.5330305207515,802.5116449520838,356.6907279059005,925.626052786285,1009.3978964618442,826.0911077557374,899.7273230648719,1069.5395403926464,856.4239837108464
2010,1349.5211711481393,1463.9357321607222,1182.3214123749674,1396.6649027366796,1467.3631554951457,1327.7981086675375,814.3868475904392,925.5942674666919,596.6733796401463,887.1253671602663,976.7255360029084,800.3242092886493,407.2481065866446,942.2730645614945,1056.6876255740776,775.073305788323,989.4167961500351,1060.1150489085012,920.5500020808928
2011,1877.2730442298996,2244.9418366650134,1893.9825054331538,2071.476762563276,2284.657080370559,1827.619351159032,811.6955246339743,877.1248972850235,639.6689309229802,916.1210937925359,972.416242708854,795.7743278114715,1101.747278376702,775.5257658531973,1143.194558288311,792.2352270564518,969.7294841865739,1182.9098019938572,725.87207278233
2012,1055.065921689595,1274.2461652101733,945.7588754654436,1153.8544856629076,1287.6229723906367,1131.9990080958735,910.321587392759,861.9804395168771,727.0090449473187,986.9115683390904,1102.715053018016,877.8318883270093,392.20212056098677,662.8638011286081,882.0440446491866,553.5567549044567,761.6523651019207,895.4208518296501,739.7968875348868
2013,1150.6280373456188,1350.778239605817,1275.086808576007,1248.9396870289208,1404.6356069050069,1212.910573576991,937.3873873994003,901.9520708596416,798.0140496508051,984.2037710860691,1152.9804449299786,887.4794655451541,365.21528828277513,785.4127490628438,985.5629513230417,909.8715202932318,883.7243987461457,1039.4203186222317,847.6952852942159
2014,849.9519190277374,971.2244607168624,859.3555523892643,934.4590204692645,1018.8209334387236,893.6136097097628,926.2465370114357,888.6093551571657,717.7271584811192,951.4829612959264,1161.6641596607894,912.3461353712988,176.1445144892494,673.8074045384881,795.0799462276129,683.2110379000148,758.3145059800152,842.6764189494743,717.4690952205134
2015,909.3844850025523,1009.0301634983782,953.1319028492029,995.2331555736237,1046.0484334200758,933.1928719193066,959.4753388103634,877.238668266662,828.0133256511945,1009.1155475919825,1118.2311003701318,938.3580931078061,151.18680431112762,758.1976806914247,857.8433591872506,801.9450985380753,844.0463512624959,894.8616291089481,782.006067608179
2016,1511.4779593444914,1668.7862554665771,1506.384261680913,1631.2823360993243,1692.2638364873312,1665.3768328949136,956.7059752454865,878.526254410033,758.9489860809299,985.1556505494391,1063.139874955229,974.3332440366473,501.88498470648216,1009.5929746380092,1166.901270760095,1004.4992769744308,1129.3973513928422,1190.378851780849,1163.4918481884313
2017,2485.265638045234,2853.911860504707,2628.1980421060593,2863.2579541145583,2925.5067487900224,2323.4658009273026,927.8836125642472,932.1381608150706,695.9339680040462,931.8579707605472,1062.8389719430395,907.2639369164207,1805.172058906096,680.0935791391379,1048.7398015986107,823.0259831999632,1058.085895208462,1120.3346898839266,518.2937420212066
2018,1260.090463287061,1384.0149308493171,1317.10336858358,1362.6721393277878,1411.3895259063077,1234.466421638975,969.9641616529707,932.7711002809276,760.9111619133913,1017.2865868606298,1132.123995838305,928.4997906704612,511.4314809281582,748.658982358903,872.583449921159,805.6718876554219,851.2406583996296,899.9580449781496,723.0349407108166
2019,1902.5632043966184,1980.346723547681,1786.8383754168278,1997.856362564672,2007.055475974788,1706.5775482270208,938.5079073495193,927.2503739526627,759.2575419083021,973.2554996763132,1066.576683378781,936.6774404559325,895.4321273587367,1007.1310770378817,1084.9145961889442,891.4062480580911,1102.4242352059355,1111.6233486160513,811.1454208682841
2020,971.2186318349158,950.1258855251664,852.6058451089217,924.7542119426146,953.286307708921,872.5664927159011,1014.651380590892,951.3635550639702,799.9237994868658,1043.213751116826,1159.2479940995067,1051.3160153469262,252.85853426706777,718.360097567848,697.2673512580986,599.7473108418538,671.8956776755467,700.4277734418532,619.7079584488333
2021,723.1097978119029,706.2634587447775,640.2722733079013,726.5269783001136,721.4643088581282,697.3051339999146,968.1776148871105,920.2952473285384,763.5876143768886,975.3175233678547,1247.1361928119377,954.4003227792482,150.00894423433607,573.1008535775668,556.2545145104415,490.26332907356516,576.5180340657774,571.4553646237922,547.2961897655786
2022,1201.45664537515,1349.4656454532121,1247.214149609112,1337.9659574016432,1389.5693945219195,1007.9312660653829,965.6284850707543,896.3878778956698,775.3309555973922,988.05359617684,1145.0226139825666,939.9567430861814,230.6287957873707,970.8278495877792,1118.8368496658416,1016.5853538217413,1107.3371616142724,1158.9405987345488,777.3024702780123
2023,1906.9006262865732,2011.1402004967924,1746.7717196544118,1980.7508527406346,1993.4402732949025,1697.2570239041063,930.6123224688632,937.7859765667957,743.5215108856077,934.0596866627493,1019.9185864812968,934.2152686708079,987.5973956931065,919.3032305934668,1023.542804803686,759.1743239613053,993.1534570475281,1005.842877601796,709.6596282109998
