water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
2004,1191.4383292881803,1391.668161308433,1450.1850812635844,1243.6211800710641,1514.7023095368477,1013.0231990220176,909.5734573603561,943.2488119519093,663.8945659680094,984.2677177872924,950.5759688051398,914.2871258384166,763.8700700346461,427.5682592535342,627.798091273787,686.3150112289384,479.7511100364181,750.8322395022017,249.15312898737156
2005,1197.736684473975,1428.3380180063157,1099.783531201216,1299.6831276669532,1448.1509086497197,975.5700262686335,883.8500728455099,954.5935322177058,669.7129366618617,962.0903279360717,908.7259523129969,866.0841193624972,669.680890703753,528.0557937702218,758.6571273025627,430.1026404974629,630.0022369632002,778.4700179459666,305.88913556488046
2006,1694.0119638751007,2069.1210119144916,1878.9624461422932,1973.4624182675145,2108.5416458502527,1473.8405768064035,887.8726564450749,1002.1564306555662,618.987559478008,938.6912605120591,942.1092418928454,876.6698239826982,1532.5129685178729,161.4989953572279,536.608043396619,346.4494776244204,440.94944974964153,576.0286773323802,-58.67239171146913
2007,1077.1416088694084,1246.772697091427,1149.652514035368,1208.5604358998278,1328.0118440051176,950.2412973156779,931.9459407664492,1007.3667438944498,678.4381302502788,1005.047489266727,946.631920673605,898.3382296275321,745.3332392081383,331.80836966127015,501.4394578832888,404.31927482722983,463.22719669168964,582.6786047969792,204.90805810753977
2008,1097.038416188809,1317.8037494744665,1013.6013666438147,1188.3891756680564,1372.0060184185593,909.5037549605413,867.0497461799566,979.3380049184855,571.6677361705956,893.6492131628888,945.0296997968716,883.4063988323993,757.0591080467743,339.9793081420346,560.7446414276922,256.5422585970403,431.33006762128196,614.9469103717848,152.44464691376703
2009,992.1976660692169,1188.0392193088464,966.1288322942078,997.7719838583408,1246.5344005167126,822.0523359929965,877.8211762596852,892.4067964689035,621.4015264576832,930.4621267921575,923.8603238273163,903.160013919517,566.3119377945969,425.88572827461996,621.7272815142496,399.81689449961084,431.46004606374385,680.2224627221156,255.74039819839956
2010,1304.2665370314332,1519.8329881677755,1205.1266698880454,1349.9452255451533,1467.0984319848283,1100.1233054990953,826.2688540196906,887.7984071935124,587.0465029442055,925.7866938499243,867.7807643698096,861.3466343073807,790.3368874325969,513.9296495988365,729.4961007351786,414.7897824554486,559.6083381125565,676.7615445522314,309.7864180664984
2011,1474.7451584896544,1715.6105967500189,1500.1773586155448,1570.6734637639127,1826.1405598973552,1229.8841720159523,829.0742687139768,890.1295654441866,575.9764489524052,927.695841759855,896.3376060752139,802.5806316035373,1138.423943458873,336.3212150307812,577.1866532911458,361.7534151566717,432.24952030503954,687.7166164384822,91.46022855707912
2012,1182.7962383686863,1290.9014311964306,966.030692624425,1221.376251085034,1368.2680557642373,990.0641903160812,908.2099164365309,867.5942795730307,729.27750433918,976.2271553159146,1018.6960948068682,873.6273571495416,778.3746403673188,404.42159800136756,512.5267908291117,187.65605225710618,443.00161071771515,589.8934153969184,211.6895499487623
2013,1120.9324798039315,1320.1328514789034,1151.2207447333321,1198.2078634053441,1293.111538420118,1067.177606553949,930.7805597184041,905.0472864134987,739.4530374345769,960.3491489385844,1033.4175147778826,905.6773184482097,572.1786442068933,548.7538355970381,747.95420727201,579.0421005264388,626.0292191984508,720.9328942132247,494.99896234705585
2014,707.3108635899471,791.3620461481185,782.625660605808,789.1564943862153,875.1072136074995,795.3568321035611,950.7522423675405,933.973927501138,707.5422594196806,1027.6884840658572,1001.1971143331398,922.7058387055268,389.80655569760194,317.5043078923451,401.5554904505165,392.8191049082061,399.3499386886134,485.30065790989744,405.55027640595915
2015,1017.7030998925695,1206.846822891535,1040.1705442820553,1147.2318495067657,1263.5604281768199,1158.5402171916937,917.0139877105948,894.336026770969,712.394921413311,992.3394028398693,922.5120495338091,915.3638533986101,556.7147303267319,460.9883695658376,650.1320925648033,483.45581395532355,590.5171191800339,706.8456978500881,601.8254868649619
2016,1347.252332627842,1658.9276415118704,1385.4920822745735,1612.2071239088814,1756.4569399884335,1306.5980153815594,922.1776801922563,901.8780491421378,659.7637221417484,1006.9383766427959,928.5411888013193,921.8348621627971,1045.7737372631389,301.47859536470315,613.1539042487316,339.71834501143474,566.4333866457424,710.6832027252947,260.82427811842075
2017,1868.5605870212949,2357.7127760954872,1877.179206015805,1821.8835096598464,2478.9444866686968,1687.72036343151,861.1704594498434,914.7786773584614,560.3158129890983,912.7234859873029,862.1255739558686,885.6103995037391,1678.7669669286586,189.79362009263627,678.9458091668288,198.4122390871464,143.11654273118774,800.1775197400381,8.953396502851312
2018,925.3869479406394,1112.6977415468818,858.8974529628788,790.1752964070155,1123.5100978354778,790.3633817258477,887.4745663467633,920.2504483553515,597.8681990021395,972.3873091709288,919.6849654231437,852.6464020261325,564.2172243606308,361.1697235800086,548.4805171862511,294.680228602248,225.9580720463847,559.292873474847,226.14615736521685
2019,1338.8293459035922,1596.6527865815974,1205.2351697702954,1228.031698463916,1672.2195608519166,1187.0537012191262,859.1989133639029,895.5258379901763,624.2952256038576,928.061624943713,860.7251509560228,852.4416031619116,897.9719644002447,440.8573815033475,698.6808221813527,307.2632053700508,330.05973406367116,774.2475964516718,289.08173681888144
2020,786.2059398779109,923.0586351733446,764.5911030527697,818.4517603412887,962.5510133313207,800.216037503567,904.3921511486702,951.2965344631484,656.7361634451488,953.1350865371364,924.7969575428574,913.9711990886077,408.8840388510038,377.3219010269071,514.1745963223408,355.7070642017658,409.56772149028495,553.666974480317,391.33199865256324
2021,826.8014433197338,910.505443005373,802.0829533286687,850.9119971322644,956.3612835267181,761.8446585598174,903.1745848456056,957.69950437578,672.6690030776352,937.2298426878457,934.3024996093237,892.1184348685132,412.9376739717161,413.86376934801785,497.5677690336569,389.14527935695264,437.9743231605484,543.423609555002,348.90698458810135
2022,1014.8311904137211,1106.4823753939554,874.015622600926,981.5286352703051,1131.7298107914726,896.3469122364036,797.4956888576774,777.6163108961227,570.2419246261665,885.3884612103063,782.0361173052228,815.4288979565637,493.55773722856225,521.2734531851588,612.9246381653932,380.45788537236376,487.97089804174294,638.1720735629103,402.7891750078413
2023,1346.6936136761326,1492.3210642469899,1137.8588344716102,1398.6925996609016,1571.787631312286,1278.5568201085853,835.0062396795875,818.2661064551933,617.7018370338831,914.7024164745834,819.9763228409955,858.5893553948424,858.1183439221994,488.5752697539332,634.2027203247904,279.7404905494106,540.5742557387022,713.6692873900864,420.4384761863858
